name,value,year,lastValue,rank
民俗,151247.4,2018,122247.4,1
民俗,151447.4,2017.9,121414.8,1
民俗,148414.8,2017.8,128414.8,1
民俗,135382.2,2017.7,125382.2,1
民俗,122349.6,2017.6,122349.6,1
民俗,119317,2017.5,119317,1
民俗,116284.4,2017.4,116284.4,1
民俗,103251.8,2017.3,103251.8,1
民俗,1090219.2,2017.2,120219.2,1
民俗,97186.6,2017.1,97186.6,1
民俗,104154,2017,103550.5,1
民俗,103550.5,2016.9,103550.5,1
民俗,92947,2016.8,92947,1
民俗,102343.5,2016.7,102343.5,1
民俗,181740,2016.6,81136.5,1
民俗,81136.5,2016.5,80533,1
民俗,80533,2016.4,79929.5,1
民俗,89929.5,2016.3,79326,1
民俗,109326,2016.2,78722.5,1
民俗,108722.5,2016.1,118119,1
民俗,108119,2016,77334.7,1
民俗,107334.7,2015.9,76550.4,1
民俗,96550.4,2015.8,75766.1,1
民俗,95766.1,2015.7,74981.8,1
民俗,94981.8,2015.6,84197.5,1
民俗,94197.5,2015.5,83413.2,1
民俗,93413.2,2015.4,92628.9,1
民俗,92628.9,2015.3,91844.6,1
民俗,91844.6,2015.2,91060.3,1
民俗,81060.3,2015.1,100276,1
民俗,170276,2015,111134.7,1
民俗,85134.7,2014.9,119993.4,1
民俗,80993.4,2014.8,114852.1,1
传统舞蹈,135506,2018,104125.7,2
民俗,94852.1,2014.7,119710.8,1
传统舞蹈,124125.7,2017.9,122745.4,2
传统舞蹈,122745.4,2017.8,121365.1,2
传统舞蹈,111365.1,2017.7,119984.8,2
传统舞蹈,129984.8,2017.6,120604.5,2
民俗,129710.8,2014.6,114569.5,1
传统舞蹈,108604.5,2017.5,107224.2,2
传统舞蹈,147224.2,2017.4,115843.9,2
传统舞蹈,145843.9,2017.3,114463.6,2
民俗,144569.5,2014.5,109428.2,1
传统舞蹈,144463.6,2017.2,103083.3,2
传统舞蹈,143083.3,2017.1,111703,2
传统舞蹈,141703,2017,110857.9,2
传统舞蹈,140857.9,2016.9,110012.8,2
传统舞蹈,140012.8,2016.8,110167.7,2
民俗,139428.2,2014.4,104286.9,1
传统舞蹈,139167.7,2016.7,108322.6,2
传统舞蹈,138322.6,2016.6,107477.5,2
传统舞蹈,137477.5,2016.5,106632.4,2
传统舞蹈,136632.4,2016.4,105787.3,2
传统舞蹈,135787.3,2016.3,104942.2,2
传统舞蹈,134942.2,2016.2,10097.1,2
民俗,134286.9,2014.3,89145.6,1
传统舞蹈,134097.1,2016.1,103252,2
传统舞蹈,133252,2016,101958.2,2
传统舞蹈,131958.2,2015.9,100664.4,2
传统舞蹈,130664.4,2015.8,109370.6,2
传统舞蹈,129370.6,2015.7,108076.8,2
民俗,129145.6,2014.2,104004.3,1
传统舞蹈,128076.8,2015.6,106783,2
传统舞蹈,126783,2015.5,105489.2,2
传统舞蹈,125489.2,2015.4,104195.4,2
传统舞蹈,124195.4,2015.3,10901.6,2
民俗,124004.3,2014.1,118863,1
传统舞蹈,122901.6,2015.2,101607.8,2
传统舞蹈,121607.8,2015.1,120314,2
传统舞蹈,120314,2015,119026.5,2
传统舞蹈,119026.5,2014.9,117739,2
民俗,118863,2014,116808.3,1
传统舞蹈,117739,2014.8,116451.5,2
民俗,116808.3,2013.9,114753.6,1
传统舞蹈,116451.5,2014.7,115164,2
传统舞蹈,115164,2014.6,113876.5,2
民俗,114753.6,2013.8,112698.9,1
传统舞蹈,113876.5,2014.5,112589,2
民俗,112698.9,2013.7,110644.2,1
传统舞蹈,112589,2014.4,111301.5,2
传统舞蹈,111301.5,2014.3,110014,2
民俗,110644.2,2013.6,108589.5,1
传统舞蹈,110014,2014.2,108726.5,2
传统舞蹈,108726.5,2014.1,107439,2
民俗,108589.5,2013.5,106534.8,1
传统舞蹈,107439,2014,106024.2,2
民俗,106534.8,2013.4,104480.1,1
传统舞蹈,106024.2,2013.9,104609.4,2
传统舞蹈,104609.4,2013.8,103194.6,2
民俗,104480.1,2013.3,102425.4,1
传统舞蹈,103194.6,2013.7,101779.8,2
民俗,102425.4,2013.2,100370.7,1
传统舞蹈,101779.8,2013.6,100365,2
传统戏剧,100764,2018,97167.2,3
民俗,100370.7,2013.1,98316,1
传统舞蹈,100365,2013.5,98950.2,2
传统舞蹈,98950.2,2013.4,97535.4,2
民俗,98316,2013,96141.2,1
传统舞蹈,97535.4,2013.3,96120.6,2
传统戏剧,97167.2,2017.9,93570.4,3
民俗,96141.2,2012.9,93966.4,1
传统舞蹈,96120.6,2013.2,94705.8,2
传统舞蹈,94705.8,2013.1,93291,2
民俗,93966.4,2012.8,91791.6,1
传统戏剧,93570.4,2017.8,89973.6,3
传统舞蹈,93291,2013,90934.5,2
民间文学,92715,2018,91443.4,4
民俗,91791.6,2012.7,89616.8,1
民间文学,91443.4,2017.9,90171.8,4
传统舞蹈,90934.5,2012.9,88578,2
民间文学,90171.8,2017.8,88900.2,4
传统戏剧,89973.6,2017.7,86376.8,3
民俗,89616.8,2012.6,87442,1
民间文学,88900.2,2017.7,87628.6,4
传统舞蹈,88578,2012.8,86221.5,2
民间文学,87628.6,2017.6,86357,3
民俗,87442,2012.5,85267.2,1
传统戏剧,86376.8,2017.6,82780,4
民间文学,86357,2017.5,85085.4,3
传统舞蹈,86221.5,2012.7,83865,2
民俗,85267.2,2012.4,83092.4,1
民间文学,85085.4,2017.4,83813.8,3
传统舞蹈,83865,2012.6,81508.5,2
民间文学,83813.8,2017.3,82542.2,3
民俗,83092.4,2012.3,80917.6,1
传统戏剧,82780,2017.5,79183.2,4
民间文学,82542.2,2017.2,81270.6,3
传统体育、游艺与杂技,81563,2014,81328,3
传统舞蹈,81508.5,2012.5,79152,2
传统体育、游艺与杂技,81328,2013.9,81093,3
民间文学,81270.6,2017.1,79999,3
传统体育、游艺与杂技,81249,2014.1,81563,3
传统体育、游艺与杂技,81093,2013.8,80858,3
传统体育、游艺与杂技,80935,2014.2,81249,3
民俗,80917.6,2012.2,78742.8,1
传统体育、游艺与杂技,80858,2013.7,80623,3
传统体育、游艺与杂技,80623,2013.6,80388,3
传统体育、游艺与杂技,80621,2014.3,80935,3
传统体育、游艺与杂技,80388,2013.5,80153,3
传统体育、游艺与杂技,80307,2014.4,80621,3
传统体育、游艺与杂技,80153,2013.4,79918,3
民间文学,79999,2017,79278.6,3
传统体育、游艺与杂技,79993,2014.5,80307,3
传统体育、游艺与杂技,79918,2013.3,79683,3
传统体育、游艺与杂技,79683,2013.2,79448,3
传统体育、游艺与杂技,79679,2014.6,79993,3
传统体育、游艺与杂技,79448,2013.1,79213,3
传统体育、游艺与杂技,79365,2014.7,79679,3
民间文学,79278.6,2016.9,78558.2,3
传统体育、游艺与杂技,79213,2013,79075.6,3
传统戏剧,79183.2,2017.4,75586.4,4
传统舞蹈,79152,2012.4,76795.5,2
传统体育、游艺与杂技,79075.6,2012.9,78938.2,3
传统体育、游艺与杂技,79051,2014.8,79365,3
传统体育、游艺与杂技,78938.2,2012.8,78800.8,3
曲艺,78808,2013,78480.4,4
传统体育、游艺与杂技,78800.8,2012.7,78663.4,3
民俗,78742.8,2012.1,76568,1
传统体育、游艺与杂技,78737,2014.9,79051,3
传统体育、游艺与杂技,78663.4,2012.6,78526,3
民间文学,78558.2,2016.8,77837.8,3
传统体育、游艺与杂技,78526,2012.5,78388.6,3
曲艺,78480.4,2012.9,78152.8,4
传统体育、游艺与杂技,78423,2015,78737,3
传统体育、游艺与杂技,78388.6,2012.4,78251.2,3
传统体育、游艺与杂技,78251.2,2012.3,78113.8,2
曲艺,78152.8,2012.8,77825.2,4
曲艺,78151.6,2013.1,78808,4
